# y, u-velocity, v-velocity, w-velocity, pressure, vis, vorticity, normal, ko2_tke, ko2_omega
1.231639742851257324e+00 1.114318132400512695e+00 -4.633356957654821695e-13 0.000000000000000000e+00 -3.362335974088637158e-07 7.140127010643482208e-03 1.019687578082084656e-01 7.684782743453979492e-01 3.625336568802595139e-03 5.078448057174682617e-01
1.263362288475036621e+00 1.110836625099182129e+00 -5.156910055231778145e-13 0.000000000000000000e+00 -3.362335405654448550e-07 7.023008074611425400e-03 1.178231239318847656e-01 7.367702722549438477e-01 3.762615146115422249e-03 5.358869433403015137e-01
1.294560313224792480e+00 1.106905698776245117e+00 -5.648476478214981000e-13 0.000000000000000000e+00 -3.362333984568977030e-07 6.895993370562791824e-03 1.341557055711746216e-01 7.055826783180236816e-01 3.913533873856067657e-03 5.676723122596740723e-01
1.325181841850280762e+00 1.102542400360107422e+00 -6.131336215652039012e-13 0.000000000000000000e+00 -3.362331426615128294e-07 6.760122720152139664e-03 1.510150432586669922e-01 6.749728918075561523e-01 4.076534416526556015e-03 6.032194495201110840e-01
1.355179548263549805e+00 1.097758889198303223e+00 -6.587972355143190129e-13 0.000000000000000000e+00 -3.362329721312562469e-07 6.616446189582347870e-03 1.684521287679672241e-01 6.449886560440063477e-01 4.249929916113615036e-03 6.425583362579345703e-01
1.384510040283203125e+00 1.092558979988098145e+00 -7.024452634146749475e-13 0.000000000000000000e+00 -3.362331142398033990e-07 6.465756800025701523e-03 1.865224689245223999e-01 6.156663298606872559e-01 4.432069137692451477e-03 6.857354640960693359e-01
1.413135290145874023e+00 1.086955785751342773e+00 -7.446299436428271967e-13 0.000000000000000000e+00 -3.362330573963845382e-07 6.308704614639282227e-03 2.052882015705108643e-01 5.870509743690490723e-01 4.621219355612993240e-03 7.328228354454040527e-01
1.441021442413330078e+00 1.080963015556335449e+00 -7.842386679293711360e-13 0.000000000000000000e+00 -3.362329437095468165e-07 6.145963910967111588e-03 2.248202264308929443e-01 5.591719746589660645e-01 4.815768916159868240e-03 7.839202284812927246e-01
1.468139767646789551e+00 1.074596405029296875e+00 -8.236261607626194081e-13 0.000000000000000000e+00 -3.362327163358713733e-07 5.978076253086328506e-03 2.451980710029602051e-01 5.320586562156677246e-01 5.014073569327592850e-03 8.391569852828979492e-01
1.494466066360473633e+00 1.067868351936340332e+00 -8.603718323722808758e-13 0.000000000000000000e+00 -3.362324889621959301e-07 5.805461667478084564e-03 2.665108740329742432e-01 5.057372450828552246e-01 5.214691627770662308e-03 8.987079262733459473e-01
